Docking Station Name,Docking Station ID,Docking Station Capacity,Latitude,Longitude
"Abbey Orchard Street, Westminster",108,29,51.4981,-0.132102
"Soho Square , Soho",109,56,51.5156,-0.132329
"Wellington Road, St. John's Wood",110,17,51.533,-0.172529
"Park Lane , Hyde Park",111,28,51.51,-0.157276
"Stonecutter Street, Holborn",112,42,51.5158,-0.10527
"Gloucester Road (Central), South Kensington",113,19,51.4965,-0.183289
"Park Road (Baker Street), The Regent's Park",114,22,51.5245,-0.158964
"Braham Street, Aldgate",115,34,51.5142,-0.0735377
"Little Argyll Street, West End",116,21,51.5145,-0.141424
"Lollard Street, Vauxhall",117,25,51.4929,-0.114934
"Rochester Row, Westminster",118,13,51.4958,-0.135478
"Bath Street, St. Luke's",119,18,51.5259,-0.0908478
"The Guildhall, Guildhall",120,17,51.5157,-0.0930808
"Baker Street, Marylebone",121,22,51.5189,-0.156167
"Norton Folgate, Liverpool Street",122,23,51.5211,-0.0788698
"St. John Street, Finsbury",123,18,51.5284,-0.104725
"Eaton Square, Belgravia",124,20,51.4965,-0.150905
"Borough High Street, The Borough",125,21,51.5007,-0.0945243
"Museum of London, Barbican",126,52,51.5178,-0.0964969
"Wood Street, Guildhall",127,17,51.517,-0.0938854
"Emperor's Gate, South Kensington",128,22,51.4954,-0.185297
"Golden Square, Soho",129,18,51.5119,-0.137044
"Tower Gardens , Tower",130,24,51.5095,-0.0754595
"Eversholt Street , Camden Town",131,16,51.533,-0.136793
"Bethnal Green Road, Shoreditch",132,38,51.5236,-0.0747549
"Derry Street, Kensington",133,18,51.5014,-0.191462
"Wapping High Street, Wapping",134,20,51.5049,-0.06797
"Clerkenwell Green, Clerkenwell",135,21,51.5233,-0.104709
"Queen Victoria Street, St. Paul's",136,32,51.512,-0.0974417
"Green Street, Mayfair",138,19,51.5123,-0.157437
"Lambeth Road, Vauxhall",139,18,51.4949,-0.117975
"Finsbury Square , Moorgate",140,33,51.521,-0.0856342
"Chapel Place, Marylebone",141,29,51.5153,-0.147204
"West Cromwell Road, Earl's Court",142,24,51.4937,-0.198287
"Pont Street, Knightsbridge",143,24,51.4969,-0.161204
"Kennington Cross, Kennington",144,47,51.4889,-0.111436
"Ilchester Place, Kensington",145,24,51.5007,-0.202759
"Vauxhall Bridge , Pimlico",146,35,51.4884,-0.129362
"Tachbrook Street, Victoria",148,16,51.4921,-0.138365
"Kennington Road Post Office, Oval",149,18,51.4848,-0.110683
"Holy Trinity Brompton, Knightsbridge",150,28,51.4971,-0.168917
